Positive	Negative	Text
1	-1	!
1	-1	!!
1	-1	!!!
1	-1	!!!!
1	-1	!!!!!
1	-1	!!!!!!
1	-1	!!!!!!!
1	-1	!!!!!!!!!!!!!!
1	-1	!!!!!!!!!!!!!!!!!!!!!!
1	-1	!!!!!!!AND
1	-1	!!!!!!1
1	-1	!!!?
1	-1	!!...
1	-1	!!Are
1	-1	!!just
1	-1	!&quot;.
1	-1	!(8)...
1	-1	!...................Law
1	-1	!?
1	-1	!??
1	-1	!@dossy
1	-1	!He
4	-1	!Wow!
4	-1	!awesomest!
2	-1	!peace!
1	-1	!python
1	-1	!ubuntu
1	-1	#
1	-1	#'s...you
1	-1	#-Typo3
1	-1	#.
1	-1	#1
2	-1	#100!!!!!!!!
1	-1	#101
1	-1	#14
1	-1	#140conf
1	-1	#140tc
1	-1	#16
1	-1	#16:
1	-1	#2
1	-1	#2....
1	-1	#24
2	-1	#30SECONDSTOMARS!
1	-1	#365
1	-1	#3YP
1	-1	#3hotwords
1	-1	#3wordsaftersex
1	-1	#4
1	-1	#420
1	-1	#4networking
1	-1	#4yourhealth
1	-1	#5
1	-1	#6
1	-1	#62
1	-1	#8
1	-1	#8hours
1	-1	#9...it's
2	-1	#?%$;**{!!!!!!!!!
1	-1	#AF447
1	-1	#ASOT400
1	-1	#Alfresco
1	-1	#AllTimeLowSuckMoreCockThanAWellPaidWhore
1	-1	#BB10
1	-1	#BGT
1	-1	#BSB
1	-1	#BTS
1	-1	#Bing
1	-1	#Bones
1	-1	#Boston.
1	-1	#CGFT
1	-1	#Cavaliers
1	-1	#ChadVader
1	-1	#Charlotte
1	-1	#Chrome
1	-1	#ChubsUnite
1	-1	#ChuckMeMonday
1	-1	#ChuckMeMondays
1	-1	#Cologne
2	-1	#Conchords!!
1	-1	#CraftyM4
1	-1	#DIGG
1	-1	#Dell.
1	-1	#E3
2	-1	#E3!
1	-1	#ETDS
1	-1	#ETRU
1	-1	#Emmys
1	-1	#Evolution
1	-1	#F1
1	-3	#FAIL
1	-1	#FB
1	-1	#FCXP09
1	-1	#FF
1	-1	#FF:
1	-1	#FML
1	-1	#FNWC
1	-1	#Faithfan
1	-1	#Firefox
1	-1	#Flensburg
1	-1	#Follow
1	-1	#FollowFriday
2	-1	#FollowFriday!!!
1	-1	#Followfriday
1	-1	#FrenchOpen.
1	-1	#Friday
2	-1	#FullService!
1	-1	#G1
1	-1	#GLX5600-4:
1	-1	#GMail
1	-1	#GTRetweet
1	-1	#Geek
1	-1	#Gilad
1	-1	#Google
1	-1	#Gossip
1	-1	#Green
1	-1	#H1N1
3	-1	#HEROES
1	-1	#HappyBirthdayDrew
1	-1	#Heroes
1	-3	#IDIOT
1	-1	#Idol
1	-1	#IgniteNYC4
1	-1	#Iran9
1	-1	#IranElection
1	-1	#Iranelection
1	-1	#Iranians
1	-1	#Jizzersforlife
1	-1	#KEVINJONAS
1	-1	#KevinJonas
1	-1	#Kobe
1	-1	#LL2009
1	-1	#LOFNOTC
1	-1	#LeBron
1	-1	#MAPPmission
1	-1	#MCRchat
1	-1	#Magic
1	-1	#Masterchef
1	-1	#MightyMorph
