Positive	Negative	Text
1	-1	!
1	-1	!!
1	-1	!!!
1	-1	!!!!
1	-1	!!!!!
1	-1	!!!!!!!
1	-1	!!!!!!!!
1	-1	!!!!!!!!!
1	-1	!!!!!!!!!!!!
1	-1	!!!!!!!!!!!!!!!!!!!!!!!
1	-1	!!!!!Now
2	-1	!!!!XD
1	-1	!!&quot;couldn't
2	-1	!!haha
1	-1	!)
1	-1	!+
1	-1	!.!.
2	-1	!1!!
1	-1	!=
1	-1	!?
1	-1	!I
1	-1	!librefm
2	-1	!x
1	-1	#
1	-1	#,
1	-1	#-mazda
1	-1	#...anymore,
1	-1	#1
1	-1	#1's
1	-1	#100
1	-1	#123,243,342
1	-1	#12seconds
1	-1	#2
1	-1	#2.
1	-1	#2...
1	-1	#20
2	-1	#200!
1	-1	#24?
1	-1	#2:
1	-1	#2?
1	-1	#3
1	-1	#30rock
2	-1	#3aaah
1	-1	#3wordsaftersex
1	-1	#4
1	-1	#48hours
1	-1	#48hoursnz
1	-1	#5
1	-1	#6.
2	-1	#6492!!
1	-1	#80
1	-1	#ASD
1	-1	#Ajax
1	-1	#BEA09
1	-1	#BEA09.
1	-1	#BEATweetup.
1	-1	#BEAtwittyparty
1	-1	#BGT
1	-1	#BSNL,
1	-1	#Beijing
1	-1	#Brighton
1	-1	#BringTaraBack
1	-1	#Colorado
1	-1	#Cookoutofthecentury
1	-1	#DWorlds
1	-1	#Delhi.
1	-1	#DepecheMode
1	-1	#EASactive
1	-1	#Endometriosis
1	-1	#Eric
1	-3	#FAIL
1	-1	#FB
1	-1	#FF
2	-1	#FFrecommend!
1	-1	#FRUSTRADED
1	-1	#Facebook.
1	-1	#Ferber
1	-1	#Fibromyalgia
1	-1	#Follow
1	-1	#FollowFriday
1	-1	#FollowFriday,
1	-1	#Freude
1	-1	#Fun
1	-1	#G1
1	-1	#GQMF
1	-1	#Game
1	-1	#Giveaway
1	-1	#GreshamBlake
1	-1	#H1N1
1	-1	#Happy
1	-1	#HappyMothersDay
1	-1	#HokeyPokeyBandra
1	-1	#Hunchback
1	-1	#Hurryup
1	-3	#IDIOT
1	-1	#IDPRelief
1	-1	#Inbruges
1	-1	#Java
1	-1	#JavaONE
1	-1	#Kaashoek
1	-1	#Karachi
1	-1	#LOST
1	-1	#Linux
1	-1	#MQM
2	-1	#MacarAMBER!!!
1	-1	#Mazda
1	-1	#Migraine
1	-1	#Migraines
1	-1	#Morrissey
1	-1	#MusicMonday
1	-1	#MyPowerBookG4RIP
1	-1	#NHL
1	-1	#NOFAKERY
1	-1	#NPR
1	-1	#Nats
1	-1	#NetPLAYER
1	-1	#OBS
1	-1	#PNLC
1	-1	#Pakistan
1	-1	#Parker
1	-1	#Pens
1	-1	#PhpEd
1	-2	#RIP
1	-1	#RX8
1	-1	#Relapse.
1	-1	#SAPInsidetrack
1	-1	#SArmy
1	-1	#SL
1	-1	#Sanctuary
1	-1	#Sanctuary,
1	-1	#SanctuarySunday
1	-1	#ScreenCastsOnline
1	-1	#Sigjeans
1	-1	#Sixx?
1	-1	#Sotomayor,
1	-1	#Squarespace
1	-1	#StarTrek
1	-1	#StarWarsDay.
